N or P gene?,Cyanorak Ids,Gene_name,Type,Function,Paper 1,Paper 2,Paper 3,Paper 4
P,CK_00000818,pstC,Phosphate (Pi),"ABC-type phosphate transport system, permease component","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x",,
P,CK_00043821,pstS,Phosphate (Pi),"ABC-type phosphate transport system, periplasmic component","Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103","David J. Scanlan, Nyree J. West, Molecular ecology of the marine cyanobacterial genera Prochlorococcus and Synechococcus, FEMS Microbiology Ecology, Volume 40, Issue 1, April 2002, Pages 1–12, https://doi.org/10.1111/j.1574-6941.2002.tb00930.x","Scanlan, D. J., Silman, N. J., Donald, K. M., Wilson, W. H., Carr, N. G., Joint, I., & Mann, N. H. (1997). An immunological approach to detect phosphate stress in populations and single cells of photosynthetic picoplankton. Applied and environmental microbiology, 63(6), 2411–2420. https://doi.org/10.1128/AEM.63.6.2411-2420.1997",
P,CK_00000123,sqdB,,Nucleoside-diphosphate-sugar epimerase,"Martiny, A. C., Coleman, M. L., & Chisholm, S. W. (2006). Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation. Proceedings of the National Academy of Sciences. https://doi.org/10.1073/pnas.0601301103",,,
P,CK_00007402,phnZ,Phosphite and phosphonate,2-AEPn utilization pathway ,"Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.","McSorley, F. R., Wyatt, P. B., Martinez, A., DeLong, E. F., Hove-Jensen, B., & Zechel, D. L. (2012). PhnY and PhnZ comprise a new oxidative pathway for enzymatic cleavage of a carbon–phosphorus bond. Journal of the American Chemical Society, 134(20), 8364-8367.",
P,CK_00055307,phnY,Phosphite and phosphonate,2-AEPn utilization pathway,"Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.","McSorley, F. R., Wyatt, P. B., Martinez, A., DeLong, E. F., Hove-Jensen, B., & Zechel, D. L. (2012). PhnY and PhnZ comprise a new oxidative pathway for enzymatic cleavage of a carbon–phosphorus bond. Journal of the American Chemical Society, 134(20), 8364-8367.",
P,CK_00008048,phnC,Phosphonate,"ABC-type phosphonate transport system, periplasmic component","Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.",,,
P,CK_00000861,phnE,Phosphonate,"ABC-type phosphonate transport system, periplasmic component","Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.",,,
P,CK_00008062,ptxA/phnC2,Phosphite,"ABC-type phosphate/phosphonate transport system, ATPase component","Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.",,,
P,CK_00006203,ptxB/phnD2,Phosphite,putative phosphite ABC transporter,"Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.",,,
P,CK_00048116,ptxC,Phosphite,putative phosphite ABC transporter,"Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.",,,
P,CK_00056808,ptxD,Phosphite,NAD-dependent phosphite dehydrogenases,"Martínez, A., Osburne, M. S., Sharma, A. K., DeLong, E. F., & Chisholm, S. W. (2012). Phosphite utilization by the marine picocyanobacterium Prochlorococcus MIT9301. Environmental Microbiology, 14(6), 1363-1377.",,,
P,CK_00002662,PsiP1,,picocyanobacteria-specific high affinity alkaline phosphatase,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,CK_00056877,phnC3,,"phosphonate ABC transporter, ATP-binding component","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,CK_00056876,phnD3,,"phosphonate ABC transporter, phosphate-binding periplasmic component","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,CK_00056878,phnE2,,"phosphonate ABC transporter, permease component","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,CK_00056874,phnE3,,"phosphonate ABC transporter, permease component","Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,CK_00052618,,,GNAT family N-acetyltransferase,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,CK_00043747,,,conserved hypothetical protein,"Doré, H., Guyet, U., Leconte, J., Farrant, G. K., Alric, B., Ratin, M., ... & Garczarek, L. (2023). Differential global distribution of marine picocyanobacteria gene clusters reveals distinct niche-related adaptive strategies. The ISME Journal, 17(5), 720-732.",,,
P,,phnW,, 2-AEP aminotransferase,,,,
