n_or_p,gene_name,cyanorak_id,organism_name,locus_tag,status,n_group_members_in_strain,all_members_in_strain
P,pstC,CK_00000818,Prochlorococcus MIT9313,PMT0702,resolved,1.0,PMT0702
P,pstC,CK_00000818,Prochlorococcus NATL2A,PMN2A_0311,resolved,1.0,PMN2A_0311
P,pstS,CK_00043821,Prochlorococcus MED4,PMM0710,resolved,1.0,PMM0710
P,pstS,CK_00043821,Prochlorococcus MIT9312,PMT9312_0722,resolved,1.0,PMT9312_0722
P,pstS,CK_00043821,Prochlorococcus MIT9313,PMT0993,resolved,2.0,PMT0508; PMT0993
P,pstS,CK_00043821,Prochlorococcus NATL2A,PMN2A_0441,resolved,1.0,PMN2A_0441
P,sqdB,CK_00000123,Prochlorococcus MED4,PMM1665,resolved,1.0,PMM1665
P,sqdB,CK_00000123,Prochlorococcus MIT9312,PMT9312_1757,resolved,1.0,PMT9312_1757
P,sqdB,CK_00000123,Prochlorococcus MIT9313,PMT0050,resolved,1.0,PMT0050
P,sqdB,CK_00000123,Prochlorococcus NATL2A,PMN2A_1264,resolved,1.0,PMN2A_1264
P,phnZ,CK_00007402,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phnZ,CK_00007402,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phnZ,CK_00007402,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phnZ,CK_00007402,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnY,CK_00055307,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phnY,CK_00055307,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phnY,CK_00055307,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phnY,CK_00055307,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnC,CK_00008048,Prochlorococcus MED4,PMM0672,resolved,1.0,PMM0672
P,phnC,CK_00008048,Prochlorococcus MIT9312,PMT9312_0672,resolved,1.0,PMT9312_0672
P,phnC,CK_00008048,Prochlorococcus MIT9313,PMT0781,resolved,1.0,PMT0781
P,phnC,CK_00008048,Prochlorococcus NATL2A,PMN2A_0104,resolved,1.0,PMN2A_0104
P,phnE,CK_00000861,Prochlorococcus MED4,PMM0671,resolved,1.0,PMM0671
P,phnE,CK_00000861,Prochlorococcus MIT9312,PMT9312_0671,resolved,1.0,PMT9312_0671
P,phnE,CK_00000861,Prochlorococcus MIT9313,PMT0782,resolved,1.0,PMT0782
P,phnE,CK_00000861,Prochlorococcus NATL2A,PMN2A_0103,resolved,1.0,PMN2A_0103
P,ptxA/phnC2,CK_00008062,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,ptxA/phnC2,CK_00008062,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,ptxA/phnC2,CK_00008062,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,ptxA/phnC2,CK_00008062,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,ptxB/phnD2,CK_00006203,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,ptxB/phnD2,CK_00006203,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,ptxB/phnD2,CK_00006203,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,ptxB/phnD2,CK_00006203,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,ptxC,CK_00048116,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,ptxC,CK_00048116,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,ptxC,CK_00048116,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,ptxC,CK_00048116,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,ptxD,CK_00056808,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,ptxD,CK_00056808,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,ptxD,CK_00056808,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,ptxD,CK_00056808,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,PsiP1,CK_00002662,Prochlorococcus MED4,PMM1416,resolved,1.0,PMM1416
P,PsiP1,CK_00002662,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,PsiP1,CK_00002662,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,PsiP1,CK_00002662,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnC3,CK_00056877,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phnC3,CK_00056877,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phnC3,CK_00056877,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phnC3,CK_00056877,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnD3,CK_00056876,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phnD3,CK_00056876,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phnD3,CK_00056876,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phnD3,CK_00056876,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnE2,CK_00056878,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phnE2,CK_00056878,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phnE2,CK_00056878,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phnE2,CK_00056878,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnE3,CK_00056874,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,phnE3,CK_00056874,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,phnE3,CK_00056874,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,phnE3,CK_00056874,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,(unnamed),CK_00052618,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,(unnamed),CK_00052618,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,(unnamed),CK_00052618,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,(unnamed),CK_00052618,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,(unnamed),CK_00043747,Prochlorococcus MED4,,not_matched_in_strain,0.0,
P,(unnamed),CK_00043747,Prochlorococcus MIT9312,,not_matched_in_strain,0.0,
P,(unnamed),CK_00043747,Prochlorococcus MIT9313,,not_matched_in_strain,0.0,
P,(unnamed),CK_00043747,Prochlorococcus NATL2A,,not_matched_in_strain,0.0,
P,phnW,,Prochlorococcus MED4,,no_cyanorak_id_in_source,,
P,phnW,,Prochlorococcus MIT9312,,no_cyanorak_id_in_source,,
P,phnW,,Prochlorococcus MIT9313,,no_cyanorak_id_in_source,,
P,phnW,,Prochlorococcus NATL2A,,no_cyanorak_id_in_source,,
