n_or_p,gene_name,cyanorak_id,organism_name,n_members,member_loci,member_products,ambiguous
P,ppK,CK_00000383,Prochlorococcus MIT9313,1,PMT2245,PMT2245=polyphosphate kinase,False
P,ppK,CK_00000383,Prochlorococcus NATL2A,1,PMN2A_1304,PMN2A_1304=polyphosphate kinase,False
P,ppX,CK_00000620,Prochlorococcus MED4,1,PMM0457,PMM0457=exopolyphosphatase,False
P,ppX,CK_00000620,Prochlorococcus MIT9312,1,PMT9312_0457,PMT9312_0457=exopolyphosphatase,False
P,ppX,CK_00000620,Prochlorococcus MIT9313,1,PMT1327,PMT1327=exopolyphosphatase,False
P,ppX,CK_00000620,Prochlorococcus NATL2A,1,PMN2A_1789,PMN2A_1789=exopolyphosphatase,False
P,pstA,CK_00000165,Prochlorococcus MED4,1,PMM0724,PMM0724=ABC-type phosphate transport system permease component,False
P,pstA,CK_00000165,Prochlorococcus MIT9312,1,PMT9312_0728,PMT9312_0728=ABC-type phosphate transport system permease component,False
P,pstA,CK_00000165,Prochlorococcus MIT9313,1,PMT0701,PMT0701=ABC-type phosphate transport system permease component,False
P,pstA,CK_00000165,Prochlorococcus NATL2A,1,PMN2A_0310,PMN2A_0310=ABC-type phosphate transport system permease component,False
P,pstB,CK_00000817,Prochlorococcus MED4,1,PMM0725,PMM0725=ABC-type phosphate transport system ATPase component,False
P,pstB,CK_00000817,Prochlorococcus MIT9312,1,PMT9312_0729,PMT9312_0729=ABC-type phosphate transport system ATPase component,False
P,pstB,CK_00000817,Prochlorococcus MIT9313,1,PMT0700,PMT0700=ABC-type phosphate transport system ATPase component,False
P,pstB,CK_00000817,Prochlorococcus NATL2A,1,PMN2A_0309,PMN2A_0309=ABC-type phosphate transport system ATPase component,False
P,pstC,CK_00000818,Prochlorococcus MED4,1,PMM0723,PMM0723=ABC-type phosphate transport system permease component,False
P,pstC,CK_00000818,Prochlorococcus MIT9312,1,PMT9312_0727,PMT9312_0727=ABC-type phosphate transport system permease component,False
P,pstC,CK_00000818,Prochlorococcus MIT9313,1,PMT0702,PMT0702=ABC-type phosphate transport system permease component,False
P,pstC,CK_00000818,Prochlorococcus NATL2A,1,PMN2A_0311,PMN2A_0311=ABC-type phosphate transport system permease component,False
P,pstS,CK_00043821,Prochlorococcus MED4,1,PMM0710,"PMM0710=phosphate ABC transporter, phosphate-binding protein PstS",False
P,pstS,CK_00043821,Prochlorococcus MIT9312,1,PMT9312_0722,"PMT9312_0722=phosphate ABC transporter, phosphate-binding protein PstS",False
P,pstS,CK_00043821,Prochlorococcus MIT9313,2,PMT0508; PMT0993,"PMT0508=phosphate ABC transporter, phosphate-binding protein PstS | PMT0993=phosphate ABC transporter, phosphate-binding protein PstS",True
P,pstS,CK_00043821,Prochlorococcus NATL2A,1,PMN2A_0441,"PMN2A_0441=phosphate ABC transporter, phosphate-binding protein PstS",False
P,sqdB,CK_00000123,Prochlorococcus MED4,1,PMM1665,PMM1665=UDP-sulfoquinovose synthase,False
P,sqdB,CK_00000123,Prochlorococcus MIT9312,1,PMT9312_1757,PMT9312_1757=UDP-sulfoquinovose synthase,False
P,sqdB,CK_00000123,Prochlorococcus MIT9313,1,PMT0050,PMT0050=UDP-sulfoquinovose synthase,False
P,sqdB,CK_00000123,Prochlorococcus NATL2A,1,PMN2A_1264,PMN2A_1264=UDP-sulfoquinovose synthase,False
P,phnZ,CK_00007402,Prochlorococcus MED4,0,,,False
P,phnZ,CK_00007402,Prochlorococcus MIT9312,0,,,False
P,phnZ,CK_00007402,Prochlorococcus MIT9313,0,,,False
P,phnZ,CK_00007402,Prochlorococcus NATL2A,0,,,False
P,phnY,CK_00055307,Prochlorococcus MED4,0,,,False
P,phnY,CK_00055307,Prochlorococcus MIT9312,0,,,False
P,phnY,CK_00055307,Prochlorococcus MIT9313,0,,,False
P,phnY,CK_00055307,Prochlorococcus NATL2A,0,,,False
P,phnC,CK_00008048,Prochlorococcus MED4,1,PMM0672,"PMM0672=phosphonate ABC type transporter, ATPase component",False
P,phnC,CK_00008048,Prochlorococcus MIT9312,1,PMT9312_0672,"PMT9312_0672=phosphonate ABC type transporter, ATPase component",False
P,phnC,CK_00008048,Prochlorococcus MIT9313,1,PMT0781,"PMT0781=phosphonate ABC type transporter, ATPase component",False
P,phnC,CK_00008048,Prochlorococcus NATL2A,1,PMN2A_0104,"PMN2A_0104=phosphonate ABC type transporter, ATPase component",False
P,phnE,CK_00000861,Prochlorococcus MED4,1,PMM0671,"PMM0671=phosphate/phosphonate ABC type transporter, permease component",False
P,phnE,CK_00000861,Prochlorococcus MIT9312,1,PMT9312_0671,"PMT9312_0671=phosphate/phosphonate ABC type transporter, permease component",False
P,phnE,CK_00000861,Prochlorococcus MIT9313,1,PMT0782,"PMT0782=phosphate/phosphonate ABC type transporter, permease component",False
P,phnE,CK_00000861,Prochlorococcus NATL2A,1,PMN2A_0103,"PMN2A_0103=phosphate/phosphonate ABC type transporter, permease component",False
P,ptxA/phnC2,CK_00008062,Prochlorococcus MED4,0,,,False
P,ptxA/phnC2,CK_00008062,Prochlorococcus MIT9312,0,,,False
P,ptxA/phnC2,CK_00008062,Prochlorococcus MIT9313,0,,,False
P,ptxA/phnC2,CK_00008062,Prochlorococcus NATL2A,0,,,False
P,ptxB/phnD2,CK_00006203,Prochlorococcus MED4,0,,,False
P,ptxB/phnD2,CK_00006203,Prochlorococcus MIT9312,0,,,False
P,ptxB/phnD2,CK_00006203,Prochlorococcus MIT9313,0,,,False
P,ptxB/phnD2,CK_00006203,Prochlorococcus NATL2A,0,,,False
P,ptxC,CK_00048116,Prochlorococcus MED4,0,,,False
P,ptxC,CK_00048116,Prochlorococcus MIT9312,0,,,False
P,ptxC,CK_00048116,Prochlorococcus MIT9313,0,,,False
P,ptxC,CK_00048116,Prochlorococcus NATL2A,0,,,False
P,ptxD,CK_00056808,Prochlorococcus MED4,0,,,False
P,ptxD,CK_00056808,Prochlorococcus MIT9312,0,,,False
P,ptxD,CK_00056808,Prochlorococcus MIT9313,0,,,False
P,ptxD,CK_00056808,Prochlorococcus NATL2A,0,,,False
P,PsiP1,CK_00002662,Prochlorococcus MED4,1,PMM1416,PMM1416=phosphate starvation inducible protein 1,False
P,PsiP1,CK_00002662,Prochlorococcus MIT9312,0,,,False
P,PsiP1,CK_00002662,Prochlorococcus MIT9313,0,,,False
P,PsiP1,CK_00002662,Prochlorococcus NATL2A,0,,,False
P,phnC3,CK_00056877,Prochlorococcus MED4,0,,,False
P,phnC3,CK_00056877,Prochlorococcus MIT9312,0,,,False
P,phnC3,CK_00056877,Prochlorococcus MIT9313,0,,,False
P,phnC3,CK_00056877,Prochlorococcus NATL2A,0,,,False
P,phnD3,CK_00056876,Prochlorococcus MED4,0,,,False
P,phnD3,CK_00056876,Prochlorococcus MIT9312,0,,,False
P,phnD3,CK_00056876,Prochlorococcus MIT9313,0,,,False
P,phnD3,CK_00056876,Prochlorococcus NATL2A,0,,,False
P,phnE2,CK_00056878,Prochlorococcus MED4,0,,,False
P,phnE2,CK_00056878,Prochlorococcus MIT9312,0,,,False
P,phnE2,CK_00056878,Prochlorococcus MIT9313,0,,,False
P,phnE2,CK_00056878,Prochlorococcus NATL2A,0,,,False
P,phnE3,CK_00056874,Prochlorococcus MED4,0,,,False
P,phnE3,CK_00056874,Prochlorococcus MIT9312,0,,,False
P,phnE3,CK_00056874,Prochlorococcus MIT9313,0,,,False
P,phnE3,CK_00056874,Prochlorococcus NATL2A,0,,,False
P,(unnamed),CK_00052618,Prochlorococcus MED4,0,,,False
P,(unnamed),CK_00052618,Prochlorococcus MIT9312,0,,,False
P,(unnamed),CK_00052618,Prochlorococcus MIT9313,0,,,False
P,(unnamed),CK_00052618,Prochlorococcus NATL2A,0,,,False
P,(unnamed),CK_00043747,Prochlorococcus MED4,0,,,False
P,(unnamed),CK_00043747,Prochlorococcus MIT9312,0,,,False
P,(unnamed),CK_00043747,Prochlorococcus MIT9313,0,,,False
P,(unnamed),CK_00043747,Prochlorococcus NATL2A,0,,,False
